SalePrice,LotFrontage,LotArea,Utilities,Neighborhood,YearBuilt,FullBath,HalfBath,BedroomAbvGr,GarageCars,GarageArea
208500,65.0,8450,AllPub,CollgCr,2003,2,1,3,2,548
181500,80.0,9600,AllPub,Veenker,1976,2,0,3,2,460
223500,68.0,11250,AllPub,CollgCr,2001,2,1,3,2,608
140000,60.0,9550,AllPub,Crawfor,1915,1,0,3,3,642
250000,84.0,14260,AllPub,NoRidge,2000,2,1,4,3,836
143000,85.0,14115,AllPub,Mitchel,1993,1,1,1,2,480
307000,75.0,10084,AllPub,Somerst,2004,2,0,3,2,636
200000,,10382,AllPub,NWAmes,1973,2,1,3,2,484
129900,51.0,6120,AllPub,OldTown,1931,2,0,2,2,468
118000,50.0,7420,AllPub,BrkSide,1939,1,0,2,1,205
129500,70.0,11200,AllPub,Sawyer,1965,1,0,3,1,384
345000,85.0,11924,AllPub,NridgHt,2005,3,0,4,3,736
144000,,12968,AllPub,Sawyer,1962,1,0,2,1,352
279500,91.0,10652,AllPub,CollgCr,2006,2,0,3,3,840
157000,,10920,AllPub,NAmes,1960,1,1,2,1,352
132000,51.0,6120,AllPub,BrkSide,1929,1,0,2,2,576
149000,,11241,AllPub,NAmes,1970,1,0,2,2,480
90000,72.0,10791,AllPub,Sawyer,1967,2,0,2,2,516
159000,66.0,13695,AllPub,SawyerW,2004,1,1,3,2,576
139000,70.0,7560,AllPub,NAmes,1958,1,0,3,1,294
325300,101.0,14215,AllPub,NridgHt,2005,3,1,4,3,853
139400,57.0,7449,AllPub,IDOTRR,1930,1,0,3,1,280
230000,75.0,9742,AllPub,CollgCr,2002,2,0,3,2,534
129900,44.0,4224,AllPub,MeadowV,1976,1,0,3,2,572
154000,,8246,AllPub,Sawyer,1968,1,0,3,1,270
256300,110.0,14230,AllPub,NridgHt,2007,2,0,3,3,890
134800,60.0,7200,AllPub,NAmes,1951,1,0,3,2,576
306000,98.0,11478,AllPub,NridgHt,2007,2,0,3,3,772
207500,47.0,16321,AllPub,NAmes,1957,1,0,2,1,319
68500,60.0,6324,AllPub,BrkSide,1927,1,0,1,1,240
40000,50.0,8500,AllPub,IDOTRR,1920,1,0,3,1,250
149350,,8544,AllPub,Sawyer,1966,1,1,3,1,271
179900,85.0,11049,AllPub,CollgCr,2007,2,0,3,2,484
165500,70.0,10552,AllPub,NAmes,1959,1,1,4,2,447
277500,60.0,7313,AllPub,NridgHt,2005,2,0,2,2,556
309000,108.0,13418,AllPub,NridgHt,2004,3,1,4,3,691
145000,112.0,10859,AllPub,CollgCr,1994,1,1,3,2,672
153000,74.0,8532,AllPub,NAmes,1954,1,0,3,2,498
109000,68.0,7922,AllPub,NAmes,1953,1,0,3,1,246
82000,65.0,6040,AllPub,Edwards,1955,2,0,2,0,0
160000,84.0,8658,AllPub,NAmes,1965,2,0,3,2,440
170000,115.0,16905,AllPub,Timber,1959,1,1,2,1,308
144000,,9180,AllPub,SawyerW,1983,1,0,2,2,504
130250,,9200,AllPub,CollgCr,1975,1,0,3,1,308
141000,70.0,7945,AllPub,NAmes,1959,1,0,3,1,300
319900,61.0,7658,AllPub,NridgHt,2005,2,0,2,2,576
239686,48.0,12822,AllPub,Mitchel,2003,1,1,1,2,670
249700,84.0,11096,AllPub,Somerst,2006,2,0,3,3,826
113000,33.0,4456,AllPub,OldTown,1920,2,0,2,0,0
127000,66.0,7742,AllPub,Sawyer,1966,1,0,3,1,386
177000,,13869,AllPub,Gilbert,1997,2,0,3,2,388
114500,52.0,6240,AllPub,BrkSide,1934,1,0,3,2,528
110000,110.0,8472,AllPub,IDOTRR,1963,1,0,2,2,516
385000,68.0,50271,AllPub,Veenker,1981,0,1,0,3,894
130000,60.0,7134,AllPub,NAmes,1955,1,0,3,2,572
180500,100.0,10175,AllPub,NAmes,1964,2,0,3,2,576
172500,24.0,2645,AllPub,Somerst,1999,2,1,3,2,480
196500,89.0,11645,AllPub,CollgCr,2004,2,1,3,2,565
438780,66.0,13682,AllPub,StoneBr,2006,3,1,3,3,641
124900,60.0,7200,AllPub,CollgCr,1972,1,0,2,1,352
158000,63.0,13072,AllPub,SawyerW,2004,1,1,3,2,576
101000,60.0,7200,AllPub,IDOTRR,1920,1,0,3,1,288
202500,44.0,6442,AllPub,NridgHt,2006,2,0,2,2,484
140000,50.0,10300,AllPub,OldTown,1921,2,0,3,2,480
219500,,9375,AllPub,CollgCr,1997,2,1,3,2,645
317000,76.0,9591,AllPub,NridgHt,2004,2,1,4,3,852
180000,,19900,AllPub,NAmes,1970,2,0,3,2,576
226000,72.0,10665,AllPub,CollgCr,2003,2,0,3,2,558
80000,47.0,4608,AllPub,OldTown,1945,1,0,2,1,220
225000,81.0,15593,AllPub,ClearCr,1953,2,0,3,2,667
244000,95.0,13651,AllPub,NAmes,1973,2,0,3,2,516
129500,69.0,7599,AllPub,Mitchel,1982,1,0,2,2,360
185000,74.0,10141,AllPub,Gilbert,1998,2,1,3,2,427
144900,85.0,10200,AllPub,NAmes,1954,1,0,3,2,490
107400,60.0,5790,AllPub,OldTown,1915,2,0,3,1,379
91000,21.0,1596,AllPub,MeadowV,1973,1,0,2,1,297
135750,,8475,AllPub,NAmes,1956,1,0,2,1,283
127000,50.0,8635,AllPub,BrkSide,1948,1,0,2,1,240
136500,72.0,10778,AllPub,Sawyer,1968,2,0,4,0,0
110000,60.0,10440,AllPub,OldTown,1910,1,1,2,2,440
