Date,family,sales,onpromotion
01/01/2013,AUTOMOTIVE,0,0
01/01/2013,BABY CARE,0,0
01/01/2013,BEAUTY,0,0
01/01/2013,BEVERAGES,0,0
01/01/2013,BOOKS,0,0
01/01/2013,BREAD/BAKERY,0,0
01/01/2013,CELEBRATION,0,0
01/01/2013,CLEANING,0,0
01/01/2013,DAIRY,0,0
01/01/2013,DELI,0,0
01/01/2013,EGGS,0,0
01/01/2013,FROZEN FOODS,0,0
01/01/2013,GROCERY I,0,0
01/01/2013,GROCERY II,0,0
01/01/2013,HARDWARE,0,0
01/01/2013,HOME AND KITCHEN I,0,0
01/01/2013,HOME AND KITCHEN II,0,0
01/01/2013,HOME APPLIANCES,0,0
01/01/2013,HOME CARE,0,0
01/01/2013,LADIESWEAR,0,0
01/01/2013,LAWN AND GARDEN,0,0
01/01/2013,LINGERIE,0,0
01/01/2013,"LIQUOR,WINE,BEER",0,0
01/01/2013,MAGAZINES,0,0
01/01/2013,MEATS,0,0
01/01/2013,PERSONAL CARE,0,0
01/01/2013,PET SUPPLIES,0,0
01/01/2013,PLAYERS AND ELECTRONICS,0,0
01/01/2013,POULTRY,0,0
01/01/2013,PREPARED FOODS,0,0
01/01/2013,PRODUCE,0,0
01/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
01/01/2013,SEAFOOD,0,0
02/01/2013,AUTOMOTIVE,2,0
02/01/2013,BABY CARE,0,0
02/01/2013,BEAUTY,2,0
02/01/2013,BEVERAGES,1091,0
02/01/2013,BOOKS,0,0
02/01/2013,BREAD/BAKERY,470.652,0
02/01/2013,CELEBRATION,0,0
02/01/2013,CLEANING,1060,0
02/01/2013,DAIRY,579,0
02/01/2013,DELI,164.069,0
02/01/2013,EGGS,246,0
02/01/2013,FROZEN FOODS,131,0
02/01/2013,GROCERY I,2652,0
02/01/2013,GROCERY II,31,0
02/01/2013,HARDWARE,3,0
02/01/2013,HOME AND KITCHEN I,0,0
02/01/2013,HOME AND KITCHEN II,0,0
02/01/2013,HOME APPLIANCES,0,0
02/01/2013,HOME CARE,0,0
02/01/2013,LADIESWEAR,0,0
02/01/2013,LAWN AND GARDEN,10,0
02/01/2013,LINGERIE,13,0
02/01/2013,"LIQUOR,WINE,BEER",67,0
02/01/2013,MAGAZINES,0,0
02/01/2013,MEATS,369.101,0
02/01/2013,PERSONAL CARE,194,0
02/01/2013,PET SUPPLIES,0,0
02/01/2013,PLAYERS AND ELECTRONICS,0,0
02/01/2013,POULTRY,247.297,0
02/01/2013,PREPARED FOODS,47,0
02/01/2013,PRODUCE,0,0
02/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
02/01/2013,SEAFOOD,38.029,0
03/01/2013,AUTOMOTIVE,3,0
03/01/2013,BABY CARE,0,0
03/01/2013,BEAUTY,0,0
03/01/2013,BEVERAGES,919,0
03/01/2013,BOOKS,0,0
03/01/2013,BREAD/BAKERY,310.655,0
03/01/2013,CELEBRATION,0,0
03/01/2013,CLEANING,836,0
03/01/2013,DAIRY,453,0
03/01/2013,DELI,151.582,0
03/01/2013,EGGS,203,0
03/01/2013,FROZEN FOODS,87.044,0
03/01/2013,GROCERY I,2121,0
03/01/2013,GROCERY II,12,0
03/01/2013,HARDWARE,1,0
03/01/2013,HOME AND KITCHEN I,0,0
03/01/2013,HOME AND KITCHEN II,0,0
03/01/2013,HOME APPLIANCES,2,0
03/01/2013,HOME CARE,0,0
03/01/2013,LADIESWEAR,0,0
03/01/2013,LAWN AND GARDEN,0,0
03/01/2013,LINGERIE,15,0
03/01/2013,"LIQUOR,WINE,BEER",66,0
03/01/2013,MAGAZINES,0,0
03/01/2013,MEATS,272.319,0
03/01/2013,PERSONAL CARE,153,0
03/01/2013,PET SUPPLIES,0,0
03/01/2013,PLAYERS AND ELECTRONICS,0,0
03/01/2013,POULTRY,187.278,0
03/01/2013,PREPARED FOODS,63,0
03/01/2013,PRODUCE,0,0
03/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
03/01/2013,SEAFOOD,17.366001,0
04/01/2013,AUTOMOTIVE,3,0
04/01/2013,BABY CARE,0,0
04/01/2013,BEAUTY,3,0
04/01/2013,BEVERAGES,953,0
04/01/2013,BOOKS,0,0
04/01/2013,BREAD/BAKERY,198.366,0
04/01/2013,CELEBRATION,0,0
04/01/2013,CLEANING,827,0
04/01/2013,DAIRY,460,0
04/01/2013,DELI,131.411,0
04/01/2013,EGGS,171,0
04/01/2013,FROZEN FOODS,65,0
04/01/2013,GROCERY I,2056,0
04/01/2013,GROCERY II,15,0
04/01/2013,HARDWARE,7,0
04/01/2013,HOME AND KITCHEN I,0,0
04/01/2013,HOME AND KITCHEN II,0,0
04/01/2013,HOME APPLIANCES,0,0
04/01/2013,HOME CARE,0,0
04/01/2013,LADIESWEAR,0,0
04/01/2013,LAWN AND GARDEN,7,0
04/01/2013,LINGERIE,24,0
04/01/2013,"LIQUOR,WINE,BEER",102,0
04/01/2013,MAGAZINES,0,0
04/01/2013,MEATS,454.172,0
04/01/2013,PERSONAL CARE,88,0
04/01/2013,PET SUPPLIES,0,0
04/01/2013,PLAYERS AND ELECTRONICS,0,0
04/01/2013,POULTRY,258.023,0
04/01/2013,PREPARED FOODS,67,0
04/01/2013,PRODUCE,0,0
04/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
04/01/2013,SEAFOOD,29.907001,0
05/01/2013,AUTOMOTIVE,5,0
05/01/2013,BABY CARE,0,0
05/01/2013,BEAUTY,3,0
05/01/2013,BEVERAGES,1160,0
05/01/2013,BOOKS,0,0
05/01/2013,BREAD/BAKERY,301.057,0
05/01/2013,CELEBRATION,0,0
05/01/2013,CLEANING,811,0
05/01/2013,DAIRY,464,0
05/01/2013,DELI,118.613,0
05/01/2013,EGGS,177,0
05/01/2013,FROZEN FOODS,70,0
05/01/2013,GROCERY I,2216,0
05/01/2013,GROCERY II,30,0
05/01/2013,HARDWARE,1,0
05/01/2013,HOME AND KITCHEN I,0,0
05/01/2013,HOME AND KITCHEN II,0,0
05/01/2013,HOME APPLIANCES,0,0
05/01/2013,HOME CARE,0,0
05/01/2013,LADIESWEAR,0,0
05/01/2013,LAWN AND GARDEN,10,0
05/01/2013,LINGERIE,20,0
05/01/2013,"LIQUOR,WINE,BEER",159,0
05/01/2013,MAGAZINES,0,0
05/01/2013,MEATS,328.94,0
05/01/2013,PERSONAL CARE,141,0
05/01/2013,PET SUPPLIES,0,0
05/01/2013,PLAYERS AND ELECTRONICS,0,0
05/01/2013,POULTRY,212.33301,0
05/01/2013,PREPARED FOODS,66,0
05/01/2013,PRODUCE,0,0
05/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
05/01/2013,SEAFOOD,24.842,0
06/01/2013,AUTOMOTIVE,2,0
06/01/2013,BABY CARE,0,0
06/01/2013,BEAUTY,0,0
06/01/2013,BEVERAGES,407,0
06/01/2013,BOOKS,0,0
06/01/2013,BREAD/BAKERY,147.182,0
06/01/2013,CELEBRATION,0,0
06/01/2013,CLEANING,257,0
06/01/2013,DAIRY,212,0
06/01/2013,DELI,60.135,0
06/01/2013,EGGS,85,0
06/01/2013,FROZEN FOODS,32.73,0
06/01/2013,GROCERY I,723,0
06/01/2013,GROCERY II,5,0
06/01/2013,HARDWARE,2,0
06/01/2013,HOME AND KITCHEN I,0,0
06/01/2013,HOME AND KITCHEN II,0,0
06/01/2013,HOME APPLIANCES,0,0
06/01/2013,HOME CARE,0,0
06/01/2013,LADIESWEAR,0,0
06/01/2013,LAWN AND GARDEN,0,0
06/01/2013,LINGERIE,0,0
06/01/2013,"LIQUOR,WINE,BEER",0,0
06/01/2013,MAGAZINES,0,0
06/01/2013,MEATS,113.282,0
06/01/2013,PERSONAL CARE,49,0
06/01/2013,PET SUPPLIES,0,0
06/01/2013,PLAYERS AND ELECTRONICS,0,0
06/01/2013,POULTRY,73.758,0
06/01/2013,PREPARED FOODS,25,0
06/01/2013,PRODUCE,0,0
06/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
06/01/2013,SEAFOOD,5,0
07/01/2013,AUTOMOTIVE,0,0
07/01/2013,BABY CARE,0,0
07/01/2013,BEAUTY,1,0
07/01/2013,BEVERAGES,1158,0
07/01/2013,BOOKS,0,0
07/01/2013,BREAD/BAKERY,309.676,0
07/01/2013,CELEBRATION,0,0
07/01/2013,CLEANING,829,0
07/01/2013,DAIRY,400,0
07/01/2013,DELI,113.235,0
07/01/2013,EGGS,157,0
07/01/2013,FROZEN FOODS,95,0
07/01/2013,GROCERY I,2262,0
07/01/2013,GROCERY II,20,0
07/01/2013,HARDWARE,0,0
07/01/2013,HOME AND KITCHEN I,0,0
07/01/2013,HOME AND KITCHEN II,0,0
07/01/2013,HOME APPLIANCES,0,0
07/01/2013,HOME CARE,0,0
07/01/2013,LADIESWEAR,0,0
07/01/2013,LAWN AND GARDEN,1,0
07/01/2013,LINGERIE,5,0
07/01/2013,"LIQUOR,WINE,BEER",109,0
07/01/2013,MAGAZINES,0,0
07/01/2013,MEATS,266.72,0
07/01/2013,PERSONAL CARE,154,0
07/01/2013,PET SUPPLIES,0,0
07/01/2013,PLAYERS AND ELECTRONICS,0,0
07/01/2013,POULTRY,218.293,0
07/01/2013,PREPARED FOODS,48,0
07/01/2013,PRODUCE,0,0
07/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
07/01/2013,SEAFOOD,4,0
08/01/2013,AUTOMOTIVE,2,0
08/01/2013,BABY CARE,0,0
08/01/2013,BEAUTY,3,0
08/01/2013,BEVERAGES,1029,0
08/01/2013,BOOKS,0,0
08/01/2013,BREAD/BAKERY,321.851,0
08/01/2013,CELEBRATION,0,0
08/01/2013,CLEANING,827,0
08/01/2013,DAIRY,384,0
08/01/2013,DELI,130.085,0
08/01/2013,EGGS,150,0
08/01/2013,FROZEN FOODS,84,0
08/01/2013,GROCERY I,1782,0
08/01/2013,GROCERY II,22,0
08/01/2013,HARDWARE,5,0
08/01/2013,HOME AND KITCHEN I,0,0
08/01/2013,HOME AND KITCHEN II,0,0
08/01/2013,HOME APPLIANCES,0,0
08/01/2013,HOME CARE,0,0
08/01/2013,LADIESWEAR,0,0
08/01/2013,LAWN AND GARDEN,3,0
08/01/2013,LINGERIE,19,0
08/01/2013,"LIQUOR,WINE,BEER",86,0
08/01/2013,MAGAZINES,0,0
08/01/2013,MEATS,393.51,0
08/01/2013,PERSONAL CARE,119,0
08/01/2013,PET SUPPLIES,0,0
08/01/2013,PLAYERS AND ELECTRONICS,0,0
08/01/2013,POULTRY,165.968,0
08/01/2013,PREPARED FOODS,40,0
08/01/2013,PRODUCE,0,0
08/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
08/01/2013,SEAFOOD,30.767,0
09/01/2013,AUTOMOTIVE,2,0
09/01/2013,BABY CARE,0,0
09/01/2013,BEAUTY,1,0
09/01/2013,BEVERAGES,1186,0
09/01/2013,BOOKS,0,0
09/01/2013,BREAD/BAKERY,298.582,0
09/01/2013,CELEBRATION,0,0
09/01/2013,CLEANING,906,0
09/01/2013,DAIRY,530,0
09/01/2013,DELI,147.149,0
09/01/2013,EGGS,171,0
09/01/2013,FROZEN FOODS,86,0
09/01/2013,GROCERY I,2429,0
09/01/2013,GROCERY II,56,0
09/01/2013,HARDWARE,2,0
09/01/2013,HOME AND KITCHEN I,0,0
09/01/2013,HOME AND KITCHEN II,0,0
09/01/2013,HOME APPLIANCES,0,0
09/01/2013,HOME CARE,0,0
09/01/2013,LADIESWEAR,0,0
09/01/2013,LAWN AND GARDEN,11,0
09/01/2013,LINGERIE,5,0
09/01/2013,"LIQUOR,WINE,BEER",104,0
09/01/2013,MAGAZINES,0,0
09/01/2013,MEATS,390.15298,0
09/01/2013,PERSONAL CARE,190,0
09/01/2013,PET SUPPLIES,0,0
09/01/2013,PLAYERS AND ELECTRONICS,0,0
09/01/2013,POULTRY,207.27501,0
09/01/2013,PREPARED FOODS,53,0
09/01/2013,PRODUCE,0,0
09/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
09/01/2013,SEAFOOD,33.42,0
10/01/2013,AUTOMOTIVE,2,0
10/01/2013,BABY CARE,0,0
10/01/2013,BEAUTY,3,0
10/01/2013,BEVERAGES,847,0
10/01/2013,BOOKS,0,0
10/01/2013,BREAD/BAKERY,303.515,0
10/01/2013,CELEBRATION,0,0
10/01/2013,CLEANING,683,0
10/01/2013,DAIRY,345,0
10/01/2013,DELI,123.893,0
10/01/2013,EGGS,117,0
10/01/2013,FROZEN FOODS,61,0
10/01/2013,GROCERY I,1544,0
10/01/2013,GROCERY II,39,0
10/01/2013,HARDWARE,4,0
10/01/2013,HOME AND KITCHEN I,0,0
10/01/2013,HOME AND KITCHEN II,0,0
10/01/2013,HOME APPLIANCES,0,0
10/01/2013,HOME CARE,0,0
10/01/2013,LADIESWEAR,0,0
10/01/2013,LAWN AND GARDEN,4,0
10/01/2013,LINGERIE,10,0
10/01/2013,"LIQUOR,WINE,BEER",67,0
10/01/2013,MAGAZINES,0,0
10/01/2013,MEATS,246.035,0
10/01/2013,PERSONAL CARE,110,0
10/01/2013,PET SUPPLIES,0,0
10/01/2013,PLAYERS AND ELECTRONICS,0,0
10/01/2013,POULTRY,156.072,0
10/01/2013,PREPARED FOODS,66,0
10/01/2013,PRODUCE,0,0
10/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
10/01/2013,SEAFOOD,26.2,0
11/01/2013,AUTOMOTIVE,3,0
11/01/2013,BABY CARE,0,0
11/01/2013,BEAUTY,2,0
11/01/2013,BEVERAGES,1033,0
11/01/2013,BOOKS,0,0
11/01/2013,BREAD/BAKERY,296.43298,0
11/01/2013,CELEBRATION,0,0
11/01/2013,CLEANING,664,0
11/01/2013,DAIRY,401,0
11/01/2013,DELI,131.703,0
11/01/2013,EGGS,148,0
11/01/2013,FROZEN FOODS,68.841,0
11/01/2013,GROCERY I,1750,0
11/01/2013,GROCERY II,27,0
11/01/2013,HARDWARE,2,0
11/01/2013,HOME AND KITCHEN I,0,0
11/01/2013,HOME AND KITCHEN II,0,0
11/01/2013,HOME APPLIANCES,0,0
11/01/2013,HOME CARE,0,0
11/01/2013,LADIESWEAR,0,0
11/01/2013,LAWN AND GARDEN,10,0
11/01/2013,LINGERIE,14,0
11/01/2013,"LIQUOR,WINE,BEER",130,0
11/01/2013,MAGAZINES,0,0
11/01/2013,MEATS,458.241,0
11/01/2013,PERSONAL CARE,81,0
11/01/2013,PET SUPPLIES,0,0
11/01/2013,PLAYERS AND ELECTRONICS,0,0
11/01/2013,POULTRY,179.567,0
11/01/2013,PREPARED FOODS,57,0
11/01/2013,PRODUCE,0,0
11/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
11/01/2013,SEAFOOD,37.231,0
12/01/2013,AUTOMOTIVE,2,0
12/01/2013,BABY CARE,0,0
12/01/2013,BEAUTY,0,0
12/01/2013,BEVERAGES,1143,0
12/01/2013,BOOKS,0,0
12/01/2013,BREAD/BAKERY,321.681,0
12/01/2013,CELEBRATION,0,0
12/01/2013,CLEANING,621,0
