value,date,
156309,01/01/1952,
156527,01/02/1952,
156731,01/03/1952,
156943,01/04/1952,
157140,01/05/1952,
157343,01/06/1952,
157553,01/07/1952,
157798,01/08/1952,
158053,01/09/1952,
158306,01/10/1952,
158451,01/11/1952,
158757,01/12/1952,
158973,01/01/1953,
159170,01/02/1953,
159349,01/03/1953,
159556,01/04/1953,
159745,01/05/1953,
159956,01/06/1953,
160184,01/07/1953,
160449,01/08/1953,
160718,01/09/1953,
160978,01/10/1953,
161223,01/11/1953,
161453,01/12/1953,
161690,01/01/1954,
161912,01/02/1954,
162124,01/03/1954,
162350,01/04/1954,
162564,01/05/1954,
162790,01/06/1954,
163026,01/07/1954,
163290,01/08/1954,
163570,01/09/1954,
163847,01/10/1954,
164107,01/11/1954,
164349,01/12/1954,
164588,01/01/1955,
164809,01/02/1955,
165018,01/03/1955,
165251,01/04/1955,
165463,01/05/1955,
165695,01/06/1955,
165931,01/07/1955,
166192,01/08/1955,
166473,01/09/1955,
166755,01/10/1955,
167023,01/11/1955,
167270,01/12/1955,
167513,01/01/1956,
167746,01/02/1956,
167977,01/03/1956,
168221,01/04/1956,
168436,01/05/1956,
168659,01/06/1956,
168903,01/07/1956,
169191,01/08/1956,
169488,01/09/1956,
169780,01/10/1956,
170063,01/11/1956,
170315,01/12/1956,
170571,01/01/1957,
170806,01/02/1957,
171029,01/03/1957,
171271,01/04/1957,
171501,01/05/1957,
171741,01/06/1957,
171984,01/07/1957,
172257,01/08/1957,
172538,01/09/1957,
172816,01/10/1957,
173070,01/11/1957,
173298,01/12/1957,
173533,01/01/1958,
173746,01/02/1958,
173945,01/03/1958,
174176,01/04/1958,
174397,01/05/1958,
174639,01/06/1958,
174882,01/07/1958,
175143,01/08/1958,
175413,01/09/1958,
175697,01/10/1958,
175966,01/11/1958,
176207,01/12/1958,
176447,01/01/1959,
176685,01/02/1959,
176905,01/03/1959,
177146,01/04/1959,
177365,01/05/1959,
177591,01/06/1959,
177830,01/07/1959,
178101,01/08/1959,
178376,01/09/1959,
178657,01/10/1959,
178921,01/11/1959,
179153,01/12/1959,
179386,01/01/1960,
179597,01/02/1960,
179788,01/03/1960,
180007,01/04/1960,
180222,01/05/1960,
180444,01/06/1960,
180671,01/07/1960,
180945,01/08/1960,
181238,01/09/1960,
181528,01/10/1960,
181796,01/11/1960,
182042,01/12/1960,
182287,01/01/1961,
182520,01/02/1961,
182742,01/03/1961,
182992,01/04/1961,
183217,01/05/1961,
183452,01/06/1961,
183691,01/07/1961,
183958,01/08/1961,
184243,01/09/1961,
184524,01/10/1961,
184783,01/11/1961,
185016,01/12/1961,
185242,01/01/1962,
185452,01/02/1962,
185650,01/03/1962,
185874,01/04/1962,
186087,01/05/1962,
186314,01/06/1962,
186538,01/07/1962,
186790,01/08/1962,
187058,01/09/1962,
187323,01/10/1962,
187574,01/11/1962,
187796,01/12/1962,
188013,01/01/1963,
188213,01/02/1963,
188387,01/03/1963,
188580,01/04/1963,
188790,01/05/1963,
189018,01/06/1963,
189242,01/07/1963,
189496,01/08/1963,
189761,01/09/1963,
190028,01/10/1963,
190265,01/11/1963,
190472,01/12/1963,
190668,01/01/1964,
190858,01/02/1964,
191047,01/03/1964,
191245,01/04/1964,
191447,01/05/1964,
191666,01/06/1964,
191889,01/07/1964,
192131,01/08/1964,
192376,01/09/1964,
192631,01/10/1964,
192847,01/11/1964,
193039,01/12/1964,
193223,01/01/1965,
193393,01/02/1965,
193540,01/03/1965,
193709,01/04/1965,
193888,01/05/1965,
194087,01/06/1965,
194303,01/07/1965,
194528,01/08/1965,
194761,01/09/1965,
194997,01/10/1965,
195195,01/11/1965,
195372,01/12/1965,
195539,01/01/1966,
195688,01/02/1966,
195831,01/03/1966,
195999,01/04/1966,
196178,01/05/1966,
196372,01/06/1966,
196560,01/07/1966,
196762,01/08/1966,
196984,01/09/1966,
197207,01/10/1966,
197398,01/11/1966,
197572,01/12/1966,
197736,01/01/1967,
197892,01/02/1967,
198037,01/03/1967,
198206,01/04/1967,
198363,01/05/1967,
198537,01/06/1967,
198712,01/07/1967,
198911,01/08/1967,
199113,01/09/1967,
199311,01/10/1967,
199498,01/11/1967,
199657,01/12/1967,
199808,01/01/1968,
199920,01/02/1968,
200056,01/03/1968,
200208,01/04/1968,
200361,01/05/1968,
200536,01/06/1968,
200706,01/07/1968,
200898,01/08/1968,
201095,01/09/1968,
201290,01/10/1968,
201466,01/11/1968,
201621,01/12/1968,
201760,01/01/1969,
201881,01/02/1969,
202023,01/03/1969,
202161,01/04/1969,
202331,01/05/1969,
202507,01/06/1969,
202677,01/07/1969,
202877,01/08/1969,
203090,01/09/1969,
203302,01/10/1969,
203500,01/11/1969,
203675,01/12/1969,
203849,01/01/1970,
204008,01/02/1970,
204156,01/03/1970,
204401,01/04/1970,
204607,01/05/1970,
204830,01/06/1970,
205052,01/07/1970,
205295,01/08/1970,
205540,01/09/1970,
205788,01/10/1970,
206024,01/11/1970,
206238,01/12/1970,
206466,01/01/1971,
206668,01/02/1971,
206855,01/03/1971,
207065,01/04/1971,
207260,01/05/1971,
207462,01/06/1971,
